 38 194   0   0
 39 224   0   0
 40 254   0   0
 41 253   0   0
 42 255   5   3
 43 252  82   0
 44 255 130  43
 45 255 173  71
 46 255 216 100
 47 252 232 123
 48 229 231 148
 49 195 225 168
 50 163 218 184
 51 127 213 201
 52  95 212 217
 53  33 211 230
 54   2 210 246
 55   0 186 229
 56  63 137 201
 57  71 110 182
 58  74  96 173
 59  67  90 170
 60  63  81 168
 61  40  58 159
 62  42  42 140
