    65   40
    67   92
   255   42
   255   94
   315   40
   317   98
   382   96
   443   44
   445   96
   509   44
   505   92
    65  163
   194  157
   443  159
    67  219
    63  284
    97   68
    97  131
    97  195
   103  252
   103  323
    65  351
    65  415
    97  379
    97  446
    69  480
    67  539
   443  226
   505  230
   507  159
   477  197
   477  133
   477   64
   422   64
   408  139
   348  129
   283   74
   291  131
   224  131
   192  100
   162  129
   158  197
   253  159
   317  159
   382  165
   408  195
   408  262
   406  318
   406  385
   408  444
   220  197
   192  234
    26  256
    32  122
    32  510
   127  478
   127  413
   127  347
   156  381
   184  353
   224  381
   194  413
   188  470
   156  506
   228  506
   186  541
   257  476
   257  424
   257  349
   287  381
   317  345
   354  381
   317  407
   283  440
   311  480
   348  444
   317  543
   293  502
   354  502
   281  577
   317  607
   378  549
   382  490
   382  405
   382  349
   443  347
   441  288
   471  258
   477  323
   509  282
   475  381
   445  413
   505  415
   471  450
   439  474
   507  472
   479  504
   449  537
   509  535
   475  567
   414  573
   447  605
   511  603
   542  571
   540  504
   540  446
   540  371
   538  316
   540  252
   540  185
   542  129
   533   64
   604   66
   568  102
   568  163
   602  127
   602  191
   600  258
   572  278
   643  288
   602  318
   570  349
   641  351
   602  383
   564  418
   637  418
   596  446
   572  472
   630  472
   606  508
   570  535
   630  537
   600  575
   574  612
   637  607
   257  539
   635   25
   632   96
   632  165
   635  224
   665   70
   665  139
   665  195
   661  262
   667  323
   665  389
   671  446
   667  510
   663  573
   697  601
   703  535
   697  476
   697  415
   701  347
   697  292
   697  226
   697   92
   695   30
   727   70
   727  135
   727  201
   732  258
   727  316
   727  387
   725  448
   727  510
   721  573
   794  569
   794  506
   794  446
   794  379
   786  318
   794  250
   788  191
   794   64
   756   21
   756   98
   224  446
   166  444
   822  153
   818  228
   824  292
   879   38
   948   34
  1071   36
  1134   36
  1200   34
  1200   98
  1142   98
  1075   94
  1010   96
   946   96
   885   96
   883  157
   946  163
  1012  161
  1073  163
  1136  161
  1202  157
  1196  226
  1136  222
  1073  224
   954  224
   883  222
   885  286
   948  286
  1012  284
  1071  278
  1140  282
  1198  280
  1200  353
  1140  351
  1081  349
   950  347
   885  347
   829  345
   879  418
   948  418
  1073  409
  1128  409
  1194  413
  1138  474
  1071  472
  1014  474
   950  470
   885  468
  1200  470
   835  474
   822  539
   879  539
  1006  539
  1075  541
  1140  537
  1142  603
   879  605
   824  601
   849   66
   849  137
   853  197
   849  258
   853  318
   855  381
   849  510
   853  575
   915  510
   913  379
   915  318
   915  252
   915  185
   921  133
   919   66
   980   62
   980  135
   984  193
   980  254
   978  314
   978  385
   978  446
   976  504
  1047  504
  1041  438
  1043  377
  1041  250
  1041  193
  1041   68
  1164   68
  1170  131
  1105  133
  1105  193
  1170  191
  1237  193
  1239  133
  1239   66
  1235  258
  1174  258
  1107  256
  1233  314
  1172  316
  1107  323
  1105  375
  1170  381
  1237  383
  1239  452
  1170  448
  1107  450
  1101  508
  1105  571
  1170  510
    34   66
    34  191
  1010   38
   156   68
   224   68
   348  199
   285  199
   255  228
   133  230
   323  232
   378  234
   352  258
   293  260
   230  258
   164  258
   127  288
   194  286
   251  290
   323  284
   378  278
   348  312
   279  314
   224  314
   158  316
   121  539
   152  577
   224  577
    89  579
    26  579
    65  609
   188  605
   257  605
  1049  573
   986  571
   921  571
   948  607
  1071  605
  1172  571
  1237  512
  1239  569
  1210  605
  1010  605
   824   32
   824  102
   127  163
   133   98
   131   40
